date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:46:08	0/0	------	200	untouched ('OK')	text/plain	date:Mon,%2006%20Apr%202026%2014:42:29%20GMT	http://www.aspaklaria.info/robots.txt		(from )
17:46:08	564/564	------	200	untouched ('OK')	text/html	etag:%22234-4b62f8eb38957-gzip%22	http://www.aspaklaria.info/	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/index.html	(from )
17:46:08	617/617	------	200	untouched ('OK')	text/html	etag:%22269-473234eec4800-gzip%22	http://www.aspaklaria.info/Logo_Aspaklaria_V25.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/Logo_Aspaklaria_V25.html	(from http://www.aspaklaria.info/)
17:46:08	1676/1676	------	200	untouched ('OK')	text/html	etag:%2268c-4b62e9cd30347-gzip%22	http://www.aspaklaria.info/AlepBet_Title_V25.html	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/AlepBet_Title_V25.html	(from http://www.aspaklaria.info/)
17:46:08	1066/1066	------	200	untouched ('OK')	text/html	etag:%2242a-473234edd05c0-gzip%22	http://www.aspaklaria.info/Aspaklaria_main_V20.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/Aspaklaria_main_V20.html	(from http://www.aspaklaria.info/)
17:46:08	810/810	------	200	untouched ('OK')	text/css	etag:%2232a-473234e9ffcc0%22	http://www.aspaklaria.info/aspaklaria.css	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/aspaklaria.css	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:46:08	75607/75607	------	200	untouched ('OK')	text/html	etag:%2212757-4d85915151589-gzip%22	http://www.aspaklaria.info/001_ALEF/ALEF.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/001_ALEF/ALEF.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:46:08	33490/33490	------	200	untouched ('OK')	text/html	etag:%2282d2-4d859942f0364-gzip%22	http://www.aspaklaria.info/002_BET/BET.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/002_BET/BET.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:46:08	12094/12094	------	200	untouched ('OK')	text/html	etag:%222f3e-4d85a35cd9490-gzip%22	http://www.aspaklaria.info/003_GIMEL/GIMEL.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/003_GIMEL/GIMEL.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:46:08	18399/18399	------	200	untouched ('OK')	text/html	etag:%2247df-4d85a7da33889-gzip%22	http://www.aspaklaria.info/004_DALET/DALET.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/004_DALET/DALET.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:46:08	24835/24835	------	200	untouched ('OK')	text/html	etag:%226103-4d85b1b57e64c-gzip%22	http://www.aspaklaria.info/005_HE/HE.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/005_HE/HE.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:46:08	2808/2808	------	200	untouched ('OK')	text/html	etag:%22af8-4d85b7ab0e1a5-gzip%22	http://www.aspaklaria.info/006_VAV/VAV.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/006_VAV/VAV.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:46:08	6015/6015	------	200	untouched ('OK')	text/html	etag:%22177f-4d85b862e9805-gzip%22	http://www.aspaklaria.info/007_ZAYIN/ZAYIN.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/007_ZAYIN/ZAYIN.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:46:08	17602/17602	------	200	untouched ('OK')	text/html	etag:%2244c2-4d85b927d6b44-gzip%22	http://www.aspaklaria.info/008_HET/HET.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/008_HET/HET.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:46:08	7465/7465	------	200	untouched ('OK')	text/html	etag:%221d29-4d85bbadd0798-gzip%22	http://www.aspaklaria.info/009_TET/TET.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/009_TET/TET.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:46:08	41586/41586	------	200	untouched ('OK')	text/html	etag:%22a272-4b62df63a1bdd-gzip%22	http://www.aspaklaria.info/010_YOD/YOD.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/010_YOD/YOD.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:46:08	23549/23549	------	200	untouched ('OK')	text/html	etag:%225bfd-4b62e5f09b9d0-gzip%22	http://www.aspaklaria.info/020_KAF/KAF.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/020_KAF/KAF.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
17:46:09	11178/11178	------	200	untouched ('OK')	text/html	etag:%222baa-4b62e830bbb27-gzip%22	http://www.aspaklaria.info/030_LAMED/LAMED.htm	C:/code/aspaklaria/mirror_httrack/www.aspaklaria.info/030_LAMED/LAMED.html	(from http://www.aspaklaria.info/AlepBet_Title_V25.html)
